HU_INSPECT : 我们想要成年人。
REVEK_TALK_DEFEAT_REPEAT : 你是在说我的工作吗？现在是什么救了我？你和我在这里
MARISSA_TALK : 欢迎来到我的户外音乐。我的名字是玛丽莎，我是一位著名的歌手。但我相信问题就在这里。<page>许多人聚在一起听我的歌，情况发生了变化。有很多有趣的观众。我继续说，但我的声音传到了他的耳朵里。你想听听我的声音吗？随着年龄的增长，你会感觉到这一点。
GRASSHOPPER_REPEAT : 哪个更好？哪个是最好的方法？这可能很难，但我们总是在战斗。
XERO_INSPECT : 所有反对女王的人都会受到诅咒。
WALDIE_REPEAT : 你一点都不在乎我
GROHAC_REPEAT : 这些是脖子上的男性精子。他们是我亲爱的朋友。经常联系我——我说得比其他客人好。
MOLTEN_REPEAT : 我的身体没有了，但我的胃还在。
CHAGAX_REPEAT : 每一次胜利都是对死亡的暂时胜利……可悲的想法。
MARKOTH_REPEAT : 拿起枪，你会像傻瓜和男人一样死去。
NOEYES_TALK : 本……你又在找吗？尽量不要打扰我。<page>别睡了……宝宝的眼睛睁得大大的。当我呼吸时，我无法做梦，我的爱<page>你好亲爱的......答应我睡觉......给我你的指甲......嗨，伙计们，今晚我们发生了什么事……什么？我吃了
JONI_TALK : 我看到了你给我的礼物。不记得了，但是内存很小。
ALADAR_DEFEAT : 而且……我弯下腰！<page>勇气……热！蒙大拿！蒙大拿！这是 ...
GRAVEDIGGER_TALK : 另一种枪械。我想知道你为什么要醒来并给予更多的身体？如果你不说你死了，那是我的工作。
MILLY_TALK : 吃我的蛋糕！它总是很有趣。
NOEYES_DEFEAT : 一次一个……终于，两只眼睛都闭上了。我很温暖，很舒服。<page>带来不便敬请谅解。即使您不能，我们也总是这样做。带我们去那里。没有灯的地方，没有睡觉的地方......请
100NAIL_REPEAT : 我的指甲不好吗？它的透明刀片非常锋利，非常危险。
THISTLEWIND_REPEAT : 看镜头有趣吗？我没有武器，但我们是无用的生物。<page>该国希望成功地揭露一个被遗忘已久的事实。她怎么了？
MUMCAT_INSPECT : 我们尊重你保护你的根和叶。
KARINA_REPEAT : 如果您的分数较低，您将不会获得积分。你是谁，长的还是短的？
CASPIAN_TALK : 亲爱的，想想你的大脑。心灵的毁灭揭示了黑暗的现实，而我的心灵最害怕它。我相信这已经完成了，相反，我接受了这种圣洁，这种平安。
WAYNER_REPEAT : 骄傲无畏地控制着世界。我可以停止研究你的技能。
GALIEN_TALK : 你有朋友在这里吗？我一个人在垃圾桶里，算了。<page>我的名字是加隆，最强大的万圣节英雄！我开始尝试这个美妙的地方。你真的要展现你的实力，对吧？<page>不像我们面前的穷人 你和我在激烈的竞争中。害怕世界会削弱弱者呃……索赔？在有趣的战斗中测试你的实力！
POGGY_REPEAT : 还有一次。晚饭来了
REVEK_TALK_DEFEAT : 森林很安静。接近了，但是……我输了！我在这里工作，但为什么呢？很难记住……有关系吗？我不记得
POGGY_TALK : 它非常美丽和美丽。这个非常困难。我很健康看着我！一大块破裂的牛奶。难怪今天它在这里如此受欢迎。
ALADAR_TALK : 我是店铺！<page>πρώτος！琼·科尔宾 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼 琼<page>真正的白痴！我很好！注册！注册！他继续！
REVEK_REPEAT : 至少你的指甲不是假的。
ALADAR_REPEAT : 再说一次！再说一次！去基地。
JONI_REPEAT : 这个给你。这是一个放松的好地方。
HEX_TALK : 他说：“时间看不到。猜猜它去了哪里。”
HU_TALK : 等等，朋友们！你为什么来征服这片荒野？<page>许多人开始撤离该地区，但所有居民都消失了。<page>森林山谷也在我们的脚下。我为你感到骄傲，但现在我是一只动物。人，听听你的荣誉梦想。退，不退。
GARRO_TALK : 我的孩子，你是战士吗？真正的英雄是与风暴作斗争的人。
MARKOTH_DEFEAT : 当你赢得战争。<page>是的，但BT也不适合我<page>当末日来临，除了你，我将找不到任何人。<page>没有英雄，没有夜晚，没有道路，没有时间……什么都没有。单身的你被锁在外面了……来打我。
KCIN_TALK : 我很担心这些悲伤的记忆会突然消失。问这么恶毒的问题是多么愚蠢！
FALSE_KNIGHT : 我想节省更多...<page>当我看到这个人时，我睡着了......用我的大枪安全......<page>我并不难过，因为我与他互动......我的心......但最终？如果你不省电......？
WALDIE_TALK : 不要用我的长相来评判我。我很矮，在空气中很黑。我喜欢打架。
WYATT_REPEAT : 保持非常接近。我不喜欢愤怒。
CASPIAN_REPEAT : 你认为黑色的概念非常罕见吗？很难说您隐藏了对您不重要的页面。
BOSS_REPEAT : 我还是个英雄。我见过爪子，但羊长得不好。今天，不宜进入如此危险的世界。
